"행정구역","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율"
"서울특별시 광진구 구의제1동(1121585000)","23,380","13,094","          1.79","11,148","12,232","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","26,106","11,551","          2.26","12,554","13,552","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","28,268","12,099","          2.34","13,347","14,921","          0.89"
"서울특별시 동대문구 (1123000000)","337,273","170,169","          1.98","166,113","171,160","          0.97"
"서울특별시 동대문구 용신동(1123053600)","34,369","20,175","          1.70","17,131","17,238","          0.99"
"서울특별시 동대문구 제기동(1123054500)","24,284","13,499","          1.80","12,419","11,865","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","28,731","14,763","          1.95","14,333","14,398","          1.00"
"서울특별시 동대문구 전농제2동(1123057000)","18,270","7,596","          2.41","8,754","9,516","          0.92"
"서울특별시 동대문구 답십리제1동(1123060000)","28,333","12,938","          2.19","13,630","14,703","          0.93"
"서울특별시 동대문구 답십리제2동(1123061000)","27,855","12,534","          2.22","13,489","14,366","          0.94"
"서울특별시 동대문구 장안제1동(1123065000)","38,047","18,470","          2.06","18,827","19,220","          0.98"
"서울특별시 동대문구 장안제2동(1123066000)","32,382","14,122","          2.29","16,076","16,306","          0.99"
"서울특별시 동대문구 청량리동(1123070500)","18,620","9,677","          1.92","9,285","9,335","          0.99"
"서울특별시 동대문구 회기동(1123071000)","10,617","6,774","          1.57","5,093","5,524","          0.92"
"서울특별시 동대문구 휘경제1동(1123072000)","13,983","7,817","          1.79","6,620","7,363","          0.90"
"서울특별시 동대문구 휘경제2동(1123073000)","23,927","12,272","          1.95","11,955","11,972","          1.00"
"서울특별시 동대문구 이문제1동(1123074000)","18,173","10,829","          1.68","9,010","9,163","          0.98"
"서울특별시 동대문구 이문제2동(1123075000)","19,682","8,703","          2.26","9,491","10,191","          0.93"
"서울특별시 중랑구 (1126000000)","385,976","187,467","          2.06","189,869","196,107","          0.97"
"서울특별시 중랑구 면목제2동(1126052000)","23,931","12,235","          1.96","11,920","12,011","          0.99"
"서울특별시 중랑구 면목제4동(1126054000)","18,538","8,949","          2.07","9,234","9,304","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","14,717","6,453","          2.28","7,382","7,335","          1.01"
"서울특별시 중랑구 면목본동(1126056500)","33,268","17,763","          1.87","16,423","16,845","          0.97"
"서울특별시 중랑구 면목제7동(1126057000)","21,481","10,527","          2.04","10,755","10,726","          1.00"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,277","12,626","          1.92","12,022","12,255","          0.98"
"서울특별시 중랑구 상봉제1동(1126058000)","23,603","10,184","          2.32","11,445","12,158","          0.94"
"서울특별시 중랑구 상봉제2동(1126059000)","20,212","12,307","          1.64","9,719","10,493","          0.93"
"서울특별시 중랑구 중화제1동(1126060000)","19,226","9,015","          2.13","9,462","9,764","          0.97"
"서울특별시 중랑구 중화제2동(1126061000)","24,538","13,620","          1.80","12,592","11,946","          1.05"
"서울특별시 중랑구 묵제1동(1126062000)","34,197","15,014","          2.28","16,376","17,821","          0.92"
"서울특별시 중랑구 묵제2동(1126063000)","18,406","9,244","          1.99","9,014","9,392","          0.96"
