역번호,역명,역위도,역경도,역사도로명주소,행정구역
P549,둔촌동,,,서울특별시 강동구 양재대로 지하1369(둔촌동),강동구
P550,올림픽공원(한국체대),,,서울특별시 송파구 양재대로 지하1233(방이동),송파구
P551,방이,,,서울특별시 송파구 양재대로 지하1127(방이동),송파구
P552,오금,,,서울특별시 송파구 오금로 지하321(오금동),송파구
P553,개롱,,,서울특별시 송파구 오금로 지하402(가락동),송파구
P554,거여,,,서울특별시 송파구 오금로 지하499(거여동),송파구
0554,강일,,,서울특별시 강동구 고덕로 지하456(강일동),강동구
P555,마천,,,서울특별시 송파구 마천로57길 지하7(마천동),송파구
0610,응암,,,서울특별시 은평구 증산로 지하477(신사동),은평구
0611,역촌,,,서울특별시 은평구 서오릉로 지하63(녹번동),은평구
0612,불광,,,서울특별시 은평구 통일로 지하723-1(대조동),은평구
0613,독바위,,,서울특별시 은평구 불광로 지하129-1(불광동),은평구
0614,연신내,,,서울특별시 은평구 통일로 지하849(갈현동),은평구
0615,구산,,,서울특별시 은평구 연서로 지하137-1(구산동),은평구
0616,새절(신사),,,서울특별시 은평구 증산로 지하400(신사동),은평구
0617,증산(명지대앞),,,서울특별시 은평구 증산로 지하306(증산동),은평구
0618,디지털미디어시티,,,서울특별시 은평구 수색로 지하175(증산동),은평구
0619,월드컵경기장(성산),,,서울특별시 마포구 월드컵로 지하240(성산동),마포구
0620,마포구청,,,서울특별시 마포구 월드컵로 지하190(성산동),마포구
0621,망원,,,서울특별시 마포구 월드컵로 지하77(망원동),마포구
0622,합정,,,서울특별시 마포구 양화로 지하45(합정동),마포구
0623,상수,,,서울특별시 마포구 독막로 지하85(상수동),마포구
0624,광흥창(서강),,,서울특별시 마포구 독막로 지하165(창전동),마포구
0625,대흥(서강대앞),,,서울특별시 마포구 대흥로 지하85(대흥동),마포구
0626,공덕,,,서울특별시 마포구 백범로 지하200(공덕동),마포구
0627,효창공원앞,,,서울특별시 용산구 백범로 지하287(효창동),용산구
0628,삼각지,,,서울특별시 용산구 한강대로 지하185(한강로1가),용산구
0629,녹사평(용산구청),,,서울특별시 용산구 녹사평대로 지하195(용산동4가),용산구
0630,이태원,,,서울특별시 용산구 이태원로 지하177(이태원동),용산구
0631,한강진,,,서울특별시 용산구 이태원로 지하287(한남동),용산구
0632,버티고개,,,서울특별시 중구 다산로 지하38(신당동),중구
0633,약수,,,서울특별시 중구 다산로 지하115(신당동),중구
0634,청구,,,서울특별시 중구 청구로 지하77(신당동),중구
0635,신당,,,서울특별시 중구 다산로 지하260(흥인동),중구
0636,동묘앞,,,서울특별시 종로구 지봉로 지하24(숭인동),종로구
0637,창신,,,서울특별시 종로구 지봉로 지하112(창신동),종로구
0638,보문,,,서울특별시 성북구 보문로 지하116(보문동1가),성북구
0639,안암(고대병원앞),,,서울특별시 성북구 고려대로 지하89(안암동5가),성북구
0640,고려대(종암),,,서울특별시 성북구 종암로 지하1(종암동),성북구
0641,월곡(동덕여대),,,서울특별시 성북구 월곡로 지하107(하월곡동),성북구
0642,상월곡(한국과학기술연구원),,,서울특별시 성북구 화랑로 지하157(상월곡동),성북구
0643,돌곶이,,,서울특별시 성북구 화랑로 지하243(석관동),성북구
0644,석계,,,서울특별시 노원구 화랑로 지하 347-1(월계동) ,노원구
0645,태릉입구,,,서울특별시 노원구 동일로 지하 992-1(공릉동),노원구
0646,화랑대(서울여대입구),,,서울특별시 노원구 화랑로 지하510(공릉동),노원구
0647,봉화산(서울의료원),,,서울특별시 중랑구 신내로 지하232(신내동),중랑구
0648,신내,,,서울특별시 중랑구 용마산로136길 33 신내차량기지,중랑구
0710,도봉산,,,서울특별시 도봉구 도봉로 964-40(도봉동),도봉구
0711,수락산,,,서울특별시 노원구 동일로 지하1662(상계동),노원구
0712,마들,,,서울특별시 노원구 동일로 지하1530-1(상계동),노원구
0713,노원,,,서울특별시 노원구 동일로 지하1409(상계동),노원구
0714,중계,,,서울특별시 노원구 동일로 지하1308-1(중계동),노원구
0715,하계,,,서울특별시 노원구 동일로 지하1196(하계동),노원구
0716,공릉(서울과학기술대),,,서울특별시 노원구 동일로 지하1074(공릉동),노원구
0717,태릉입구,,,서울특별시 노원구 동일로 지하 992-1(공릉동),노원구
0718,먹골,,,서울특별시 중랑구 동일로 지하901(묵동),중랑구
0719,중화,,,서울특별시 중랑구 동일로 지하797(중화동),중랑구
0720,상봉(시외버스터미널),,,서울특별시 중랑구 망우로 297(상봉동),중랑구
0721,면목,,,서울특별시 중랑구 면목로 지하407(면목동) ,중랑구
0722,사가정,,,서울특별시 중랑구 사가정로 지하393(면목동),중랑구
0723,용마산(용마폭포공원),,,서울특별시 중랑구 용마산로 지하227(면목동),중랑구
0724,중곡,,,서울특별시 광진구 능동로 지하417(중곡동),광진구
0725,군자(능동),,,서울특별시 광진구 천호대로 지하550(능동),광진구
0726,어린이대공원(세종대),,,서울특별시 광진구 능동로 지하210(화양동),광진구
0727,건대입구,,,서울특별시 광진구 능동로 지하110(화양동),광진구
0728,뚝섬유원지,,,서울특별시 광진구 능동로 10(자양동),광진구
0729,청담,,,서울특별시 강남구 학동로 지하508(청담동),강남구
0730,강남구청,,,서울특별시 강남구 학동로 지하346(삼성동),강남구
0731,학동,,,서울특별시 강남구 학동로 지하180(논현동),강남구
0732,논현,,,서울특별시 강남구 학동로 지하102(논현동),강남구
0733,반포,,,서울특별시 서초구 신반포로 지하241(잠원동),서초구
0734,고속터미널,,,서울특별시 서초구 신반포로 지하188(반포동),서초구
0735,내방,,,서울특별시 서초구 서초대로 지하103(방배동),서초구
0736,총신대입구(이수),,,서울특별시 동작구 사당로 지하310(사당동),동작구
0737,남성,,,서울특별시 동작구 사당로 지하218(사당동),동작구
0738,숭실대입구(살피재),,,서울특별시 동작구 상도로 지하378(상도동),동작구
0739,상도,,,서울특별시 동작구 상도로 지하272(상도1동),동작구
0740,장승배기,,,서울특별시 동작구 상도로 지하188(상도동) ,동작구
0741,신대방삼거리,,,서울특별시 동작구 상도로 지하76(대방동),동작구
0742,보라매,,,서울특별시 동작구 상도로 지하2(대방동),동작구
0743,신풍,,,서울특별시 영등포구 신풍로 지하27(신길동),영등포구
0744,대림(구로구청),,,서울특별시 영등포구 도림로 지하137(대림동),영등포구
0745,남구로,,,서울특별시 구로구 도림로 지하7(구로동) ,구로구
