영업상태코드,개방자치단체코드,지번주소,좌표정보(X),좌표정보(Y),사업장명,행정구역
1,3000000,서울특별시 종로구 돈의동 137 지하4층 ,199155.5427,452083.1231,CGV피카디리1958 5관,종로구
1,3000000,서울특별시 종로구 돈의동 137 지하4층 ,199155.5427,452083.1231,CGV피카디리1958 6관,종로구
1,3010000,서울특별시 중구 충무로4가 125-18 ,199532.8921,451004.6367,대한극장(6관),중구
1,3010000,서울특별시 중구 충무로4가 125-18 ,199532.8921,451004.6367,대한극장(7관),중구
1,3010000,서울특별시 중구 충무로4가 125-18 ,199532.8921,451004.6367,대한극장(8관),중구
1,3010000,서울특별시 중구 초동 18-5번지 ,199332.2989,451378.468,명보 <<125관>>,중구
1,3010000,서울특별시 중구 충정로1가 68번지 ,197164.2265,451647.6741,청춘극장,중구
1,3010000,서울특별시 중구 을지로6가 17-2 현대시티타워 ,200613.5103,451817.5154,CGV 동대문 제1관,중구
1,3010000,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,200573.6413,451621.0365,메가박스중앙(주) 동대문점 COMFORT 1관,중구
1,3010000,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,200573.6413,451621.0365,메가박스중앙(주) 동대문점 2관,중구
1,3010000,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,200573.6413,451621.0365,메가박스중앙(주) 동대문점 3관,중구
1,3010000,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,200573.6413,451621.0365,메가박스중앙(주) 동대문점 4관,중구
1,3010000,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,200573.6413,451621.0365,메가박스중앙(주) 동대문점 5관,중구
1,3060000,서울특별시 중랑구 묵동 234-1 ,206641.2692,456981.0858,롯데시네마 중랑관 5관,중랑구
1,3010000,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,200573.6413,451621.0365,메가박스중앙(주) 동대문점 6관,중구
1,3010000,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,200573.6413,451621.0365,메가박스중앙(주) 동대문점 7관,중구
1,3010000,서울특별시 중구 충무로2가 65-9번지 ,198636.2504,451005.7216,인사이드시네마,중구
1,3010000,서울특별시 중구 충무로2가 65-9 ,198636.2504,451005.7216,CGV명동역 씨네라이브러리 ART 1관,중구
1,3010000,서울특별시 중구 필동2가 19-1 ,199519.6498,450977.2505,대한극장(4관),중구
1,3010000,서울특별시 중구 을지로6가 18-21 굿모닝시티 ,200573.6413,451621.0365,메가박스중앙(주) 동대문점 8관,중구
1,3010000,서울특별시 중구 봉래동2가 122번지 서울역 ,197243.2153,450655.1042,KTX시네마,중구
1,3010000,서울특별시 중구 정동 22 경향신문사,197279.3284,451765.4265,서울아트시네마,중구
1,3010000,서울특별시 중구 을지로6가 17-2 현대시티타워 ,200613.5103,451817.5154,CGV 동대문 제4관,중구
1,3010000,서울특별시 중구 을지로6가 17-2 현대시티타워 ,200613.5103,451817.5154,CGV 동대문 제5관,중구
1,3010000,서울특별시 중구 을지로6가 17-2 현대시티타워 ,200613.5103,451817.5154,CGV 동대문 제6관,중구
1,3010000,서울특별시 중구 을지로6가 17-2 현대시티타워 ,200613.5103,451817.5154,CGV 동대문 제2관,중구
1,3010000,서울특별시 중구 을지로6가 17-2 현대시티타워 ,200613.5103,451817.5154,CGV 동대문 제3관,중구
1,3010000,서울특별시 중구 충무로2가 65-9번지 ,198636.2504,451005.7216,인사이드시네마,중구
1,3010000,서울특별시 중구 충무로4가 125-18 ,199532.8921,451004.6367,대한극장(3관),중구
1,3010000,서울특별시 중구 충무로4가 125-18 ,199532.8921,451004.6367,대한극장(5관),중구
1,3010000,서울특별시 중구 충무로4가 125-18 ,199532.8921,451004.6367,대한극장(10관),중구
1,3010000,서울특별시 중구 명동2가 83-5 아바타빌딩 8층 ,198418.7417,451237.1686,CGV 명동 3관,중구
1,3010000,서울특별시 중구 명동2가 83-5 아바타빌딩 8층 ,198418.7417,451237.1686,CGV 명동 4관,중구
1,3010000,서울특별시 중구 장충동2가 201-6번지 ,200154.6929,449919.6278,씨너스 이오이(EOE)4 남산자동차극장,중구
1,3010000,서울특별시 중구 필동2가 19-1 ,199519.6498,450977.2505,대한극장(9관),중구
1,3010000,서울특별시 중구 충무로1가 24-23번지 캣츠빌딩 ,198527.0993,450998.0734,씨큐엔(CQN)명동1관,중구
1,3010000,서울특별시 중구 명동2가 83-5 아바타빌딩 8층 ,198418.7417,451237.1686,CGV 명동 5관,중구
1,3010000,서울특별시 중구 충무로4가 125-18 ,199532.8921,451004.6367,대한극장(2관),중구
1,3010000,서울특별시 중구 충무로4가 125-18 ,199532.8921,451004.6367,대한극장(11관),중구
1,3010000,서울특별시 중구 남대문로2가 130 ,198333.4709,451313.4129,롯데시네마 에비뉴엘5 <2관>,중구
1,3010000,서울특별시 중구 남대문로2가 130 ,198333.4709,451313.4129,롯데시네마 에비뉴엘5 <3관>,중구
1,3010000,서울특별시 중구 남대문로2가 130 ,198333.4709,451313.4129,롯데시네마 에비뉴엘5 <5관>,중구
1,3010000,서울특별시 중구 남대문로2가 130 ,198333.4709,451313.4129,롯데시네마 에비뉴엘5 <1관>,중구
1,3010000,서울특별시 중구 충무로4가 131-6번지 ,199498.592,451071.935,극동극장,중구
1,3010000,서울특별시 중구 충무로1가 24-23번지 캣츠빌딩 ,198527.0993,450998.0734,씨큐엔(CQN)명동2관,중구
1,3060000,서울특별시 중랑구 묵동 234-1 ,206641.2692,456981.0858,롯데시네마 중랑관 6관,중랑구
1,3010000,서울특별시 중구 충무로1가 24-23번지 캣츠빌딩 ,198527.0993,450998.0734,씨큐엔(CQN)명동3관,중구
1,3010000,서울특별시 중구 충무로1가 24-23번지 캣츠빌딩 ,198527.0993,450998.0734,씨큐엔(CQN)명동4관,중구
1,3010000,서울특별시 중구 충무로1가 24-23번지 캣츠빌딩 ,198527.0993,450998.0734,씨큐엔(CQN)명동5관,중구
1,3010000,서울특별시 중구 필동2가 19-1 ,199519.6498,450977.2505,대한극장(1관),중구
1,3010000,서울특별시 중구 남대문로2가 130 ,198333.4709,451313.4129,롯데시네마 에비뉴엘5 샤롯데,중구
1,3010000,서울특별시 중구 충무로2가 65-9 ,198636.2504,451005.7216,CGV명동역 씨네라이브러리 ART 2관,중구
1,3010000,서울특별시 중구 초동 19-4번지 초동빌딩3층 ,199267.1079,451366.7791,시네아스트극장,중구
1,3010000,서울특별시 중구 명동2가 83-5 아바타빌딩 8층 ,198418.7417,451237.1686,CGV 명동 2관,중구
1,3010000,서울특별시 중구 충무로2가 65-9 ,198636.2504,451005.7216,CGV 명동 1관,중구
1,3010000,서울특별시 중구 충무로1가 24-23번지 8910층 ,198527.0993,450998.0734,명동시네마,중구
1,3020000,서울특별시 용산구 한강로3가 40-999 ,196762.0774,447480.0396,씨지브이 용산아이파크몰 제2관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-999 ,196762.0774,447480.0396,씨지브이 용산아이파크몰 제8관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제11관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제18관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제19관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제20관,용산구
1,3060000,서울특별시 중랑구 묵동 234-1 ,206641.2692,456981.0858,롯데시네마 중랑관 7관,중랑구
1,3020000,서울특별시 용산구 한강로3가 40-999 ,196762.0774,447480.0396,씨지브이 용산아이파크몰 제3관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-999 ,196762.0774,447480.0396,씨지브이 용산아이파크몰 제9관,용산구
1,3020000,서울특별시 용산구 한강로3가 16-9 4~5층 ,196370.7464,447841.6988,롯데시네마 용산 제7관,용산구
1,3020000,서울특별시 용산구 한강로3가 16-9 4~5층 ,196370.7464,447841.6988,롯데시네마 용산 제1관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제13관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제14관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-999 ,196762.0774,447480.0396,씨지브이 용산아이파크몰 제10관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제15관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-999 ,196762.0774,447480.0396,씨지브이 용산아이파크몰 제5관,용산구
1,3020000,서울특별시 용산구 한강로3가 16-9 4~5층 ,196370.7464,447841.6988,롯데시네마 용산 제4관,용산구
1,3020000,서울특별시 용산구 한강로3가 16-9 4~5층 ,196370.7464,447841.6988,롯데시네마 용산 제5관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-999 ,196762.0774,447480.0396,씨지브이 용산아이파크몰 제6관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제12관,용산구
1,3020000,서울특별시 용산구 한강로3가 16-9 4~5층 ,196370.7464,447841.6988,롯데시네마 용산 제2관,용산구
1,3020000,서울특별시 용산구 한강로3가 16-9 4~5층 ,196370.7464,447841.6988,롯데시네마 용산 제3관,용산구
1,3020000,서울특별시 용산구 한강로3가 16-9 4~5층 ,196370.7464,447841.6988,롯데시네마 용산 제8관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-999 ,196762.0774,447480.0396,씨지브이 용산아이파크몰 제1관,용산구
1,3020000,서울특별시 용산구 한강로3가 16-9 4~5층 ,196370.7464,447841.6988,롯데시네마 용산 제6관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제17관,용산구
1,3020000,서울특별시 용산구 한강로3가 40-961 ,196864.3606,447707.4033,씨지브이 용산아이파크몰 제16관,용산구
1,3030000,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어 ,203903.3536,448846.8202,메가박스중앙(주) 성수지점 1관,성동구
1,3030000,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어 ,203903.3536,448846.8202,메가박스중앙(주) 성수지점 2관,성동구
1,3030000,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어 ,203903.3536,448846.8202,메가박스중앙(주) 성수지점 MX관,성동구
1,3030000,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어 ,203903.3536,448846.8202,메가박스중앙(주) 성수지점 4관,성동구
1,3030000,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어 ,203903.3536,448846.8202,메가박스중앙(주) 성수지점 5관,성동구
1,3030000,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어 ,203903.3536,448846.8202,메가박스중앙(주) 성수지점 더부티크 101호,성동구
1,3030000,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어 ,203903.3536,448846.8202,메가박스중앙(주) 성수지점 더부티크 102호,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 9관,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 5관,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 3관,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 4관,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 6관,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 7관,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 1관,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 2관,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 10관,성동구
1,3030000,서울특별시 성동구 행당동 168-151 왕십리민자역사 ,203321.5623,451001.8687,CGV 왕십리 8관,성동구
