역번호,역명,역위도,역경도,역사도로명주소,행정구역,승차총승객수,하차총승객수
P551,방이,,,서울특별시 송파구 양재대로 지하1127(방이동),송파구,50079,50636
P553,개롱,,,서울특별시 송파구 오금로 지하402(가락동),송파구,44408,45974
P554,거여,,,서울특별시 송파구 오금로 지하499(거여동),송파구,69616,66017
0554,강일,,,서울특별시 강동구 고덕로 지하456(강일동),강동구,33725,31619
P555,마천,,,서울특별시 송파구 마천로57길 지하7(마천동),송파구,50365,48427
0610,응암,,,서울특별시 은평구 증산로 지하477(신사동),은평구,120055,118158
0611,역촌,,,서울특별시 은평구 서오릉로 지하63(녹번동),은평구,25693,29911
0613,독바위,,,서울특별시 은평구 불광로 지하129-1(불광동),은평구,19226,20519
0615,구산,,,서울특별시 은평구 연서로 지하137-1(구산동),은평구,54187,40155
0620,마포구청,,,서울특별시 마포구 월드컵로 지하190(성산동),마포구,98782,87478
0621,망원,,,서울특별시 마포구 월드컵로 지하77(망원동),마포구,100778,108440
0623,상수,,,서울특별시 마포구 독막로 지하85(상수동),마포구,68864,80566
0627,효창공원앞,,,서울특별시 용산구 백범로 지하287(효창동),용산구,73951,72400
0630,이태원,,,서울특별시 용산구 이태원로 지하177(이태원동),용산구,90732,101891
0631,한강진,,,서울특별시 용산구 이태원로 지하287(한남동),용산구,67569,80312
0632,버티고개,,,서울특별시 중구 다산로 지하38(신당동),중구,15082,15028
0637,창신,,,서울특별시 종로구 지봉로 지하112(창신동),종로구,24621,21140
0643,돌곶이,,,서울특별시 성북구 화랑로 지하243(석관동),성북구,66113,60871
0644,석계,,,서울특별시 노원구 화랑로 지하 347-1(월계동) ,노원구,145365,155366
0645,태릉입구,,,서울특별시 노원구 동일로 지하 992-1(공릉동),노원구,105452,106568
0648,신내,,,서울특별시 중랑구 용마산로136길 33 신내차량기지,중랑구,15531,14802
0710,도봉산,,,서울특별시 도봉구 도봉로 964-40(도봉동),도봉구,129626,121398
0711,수락산,,,서울특별시 노원구 동일로 지하1662(상계동),노원구,90110,88704
0712,마들,,,서울특별시 노원구 동일로 지하1530-1(상계동),노원구,90234,83384
0714,중계,,,서울특별시 노원구 동일로 지하1308-1(중계동),노원구,100477,90773
0715,하계,,,서울특별시 노원구 동일로 지하1196(하계동),노원구,123001,114878
0718,먹골,,,서울특별시 중랑구 동일로 지하901(묵동),중랑구,69958,67975
0719,중화,,,서울특별시 중랑구 동일로 지하797(중화동),중랑구,73112,71313
0721,면목,,,서울특별시 중랑구 면목로 지하407(면목동) ,중랑구,108621,104185
0722,사가정,,,서울특별시 중랑구 사가정로 지하393(면목동),중랑구,111756,110866
0724,중곡,,,서울특별시 광진구 능동로 지하417(중곡동),광진구,74683,69063
0728,뚝섬유원지,,,서울특별시 광진구 능동로 10(자양동),광진구,87624,84561
0729,청담,,,서울특별시 강남구 학동로 지하508(청담동),강남구,131684,145474
0730,강남구청,,,서울특별시 강남구 학동로 지하346(삼성동),강남구,172063,195170
0731,학동,,,서울특별시 강남구 학동로 지하180(논현동),강남구,152063,161464
0733,반포,,,서울특별시 서초구 신반포로 지하241(잠원동),서초구,42392,42015
0735,내방,,,서울특별시 서초구 서초대로 지하103(방배동),서초구,96654,98317
0737,남성,,,서울특별시 동작구 사당로 지하218(사당동),동작구,78870,73239
0739,상도,,,서울특별시 동작구 상도로 지하272(상도1동),동작구,84541,82081
0740,장승배기,,,서울특별시 동작구 상도로 지하188(상도동) ,동작구,63228,61475
0741,신대방삼거리,,,서울특별시 동작구 상도로 지하76(대방동),동작구,103415,97490
0743,신풍,,,서울특별시 영등포구 신풍로 지하27(신길동),영등포구,80235,75435
0745,남구로,,,서울특별시 구로구 도림로 지하7(구로동) ,구로구,101376,105768
0746,가산디지털단지,,,서울특별시 금천구 벚꽃로 309(가산동),금천구,384069,402920
0749,천왕,,,서울특별시 구로구 오리로 지하1154(천왕동),구로구,78098,74275
0810,암사,,,서울특별시 강동구 올림픽로 지하776(암사동),강동구,127911,112575
0812,강동구청,,,서울특별시 강동구 올림픽로 지하550(성내동),강동구,69356,70373
0815,석촌,,,서울특별시 송파구 송파대로 지하439(석촌동),송파구,114536,116103
0816,송파,,,서울특별시 송파구 송파대로 지하354(가락동),송파구,58661,57145
0818,문정,,,서울특별시 송파구 송파대로 지하179(문정동),송파구,134601,141522
0819,장지,,,서울특별시 송파구 송파대로 지하82(장지동),송파구,117297,109590
0820,복정,,,서울특별시 송파구 송파대로 지하6(장지동),송파구,66232,55256
0901,개화,,,서울특별시 강서구 개화동로8길 19,강서구,18340,13168
0903,공항시장,,,서울특별시 강서구 방화동로 지하30,강서구,20445,22071
0904,신방화,,,서울특별시 강서구 방화대로 지하301,강서구,47250,45104
0906,양천향교,,,서울특별시 강서구 양천로 지하341,강서구,64858,66000
0907,가양,,,서울특별시 강서구 양천로 지하485,강서구,146923,141822
0908,증미,,,서울특별시 강서구 양천로 지하560,강서구,47663,45555
0909,등촌,,,서울특별시 강서구 공항대로 지하529,강서구,77787,73464
0910,염창,,,서울특별시 강서구 공항대로 지하631,강서구,121764,115950
0911,신목동,,,서울특별시 양천구 목동중앙로 지하217,양천구,30545,25626
0912,선유도,,,서울특별시 영등포구 양평로 지하124,영등포구,56558,53198
0914,국회의사당,,,서울특별시 영등포구 국회대로 지하758,영등포구,106202,110063
0917,노량진,,,서울특별시 동작구 노량진로 지하130,동작구,249989,247103
0918,노들,,,서울특별시 동작구 노량진로 지하238 (본동),동작구,34517,29212
0919,흑석,,,서울특별시 동작구 현충로 지하90 (흑석동),동작구,68645,69419
0920,동작,,,서울특별시 동작구 현충로 지하220 (동작동),동작구,24911,22703
0921,구반포,,,서울특별시 서초구 신반포로 지하17,서초구,8472,8775
0922,신반포,,,서울특별시 서초구 신반포로 지하105,서초구,29278,31287
0924,사평,,,서울특별시 서초구 사평대로 지하285,서초구,25684,24556
1002,남영,37.540597,126.971171,서울시 용산구 한강대로 77길 25(갈월동),용산구,68012,72476
1003,용산,37.52989,126.964775,서울시 용산구 한강대로 23길 55(한강로 3가 40-999),용산구,273035,278510
1006,영등포,37.515756,126.907411,서울시 영등포구 경인로 846(영등포동 1가 618-496),영등포구,290581,301415
1701,구로,37.503178,126.882037,서울시 구로구 구로중앙로 174,구로구,127989,130003
1714,독산,37.465994,126.889508,서울시 금천구 벚꽃로 115,금천구,121996,124201
1703,금천구청,37.45576,126.894344,서울시 금천구 시흥대로 63길 91,금천구,82649,81612
1015,회기,37.589802,127.057936,서울시 동대문구 회기로196(휘경동 317-101),동대문구,200685,193344
1016,외대앞,37.596157,127.063572,서울시 동대문구 휘경로 27(이문동 360-5),동대문구,67890,67057
1017,신이문,37.601829,127.067347,서울시 동대문구 한천로 472(이문로 7),동대문구,58777,53356
1019,광운대,37.623635,127.061975,서울시 노원구 석계로 98-2(광운대역),노원구,60406,58864
1020,월계,37.633114,127.058835,서울시 노원구 월계로 53길 40(월계2동 261),노원구,55111,51397
1021,녹천,37.644599,127.051406,서울시 도봉구 덕릉로 376(창동),도봉구,33074,27130
1901,방학,37.667471,127.044295,서울시 도봉구 도봉로 150다길 3,도봉구,69927,67703
1902,도봉,37.679441,127.045521,서울시 도봉구 도봉로 170길 2,도봉구,42515,40685
1252,신촌,37.559768,126.942308,서울특별시 서대문구 대현동 74-12,서대문구,278604,286656
1265,가좌,37.568611,126.914841,서울시 서대문구 수색로 27(남가좌동),서대문구,41339,39064
1263,서강대,37.552132,126.935389,서울시 마포구 서강로 지하118,마포구,17377,17638
1267,수색,37.580855,126.895681,서울시 은평구 수색로 261-1,은평구,19105,19553
1013,왕십리,37.561128,127.035505,서울시 성동구 왕십리 광장로 17(행당동),성동구,257672,250499
1014,청량리,37.580543,127.046516,서울시 동대문구 왕산로 214,동대문구,259199,262400
1201,중랑,37.594948,127.076152,서울특별시 중랑구 중화동 321-37,중랑구,40287,38435
1202,상봉,37.595254,127.085853,서울시 중랑구 망우로 297(상봉1동 100-9번지),중랑구,157491,151048
1203,망우,37.599288,127.092318,서울시 중랑구 망우로 55길 11-10,중랑구,56425,54477
1204,양원,36.963209,129.091131,서울시 중랑구 송림길 147(망우동),중랑구,21768,21027
1008,이촌,37.522476,126.973816,서울시 용산구 이촌로 71길 42,용산구,87215,85969
1009,서빙고,37.51961,126.988358,서울시 용산구 서빙고로 238(서빙고동 241-11),용산구,16475,15838
1010,한남,37.529361,127.008984,서울시 용산구 독서당로6길 12-13(한남동),용산구,28458,26966
1012,응봉,37.550433,127.034824,서울시 성동구 고산자로 123(응봉동),성동구,14244,12065
1813,구일,37.496273,126.869599,서울시 구로구 구일로 133,구로구,69413,71916
1801,개봉,37.494698,126.858504,서울시 구로구 경인로 40길 47,구로구,151545,145523
1802,오류동,37.4944,126.844551,서울시 구로구 경인로 20길 13,구로구,85493,77688
1821,온수,37.492267,126.823399,서울시 구로구 부일로 872,구로구,121392,113729
1847,서울숲,37.543647,127.044686,서울시 성동구 왕십리로 지하 77,성동구,90000,93416
1848,압구정로데오,37.527385,127.040555,서울시 강남구 압구정동 495(강남구 압구정로 지하 402),강남구,133107,152976
1850,선정릉,37.510275,127.043817,서울시 강남구 선릉로 지하 580(삼성동),강남구,116399,126509
1024,한티,37.496208,127.052883,서울시 강남구 선릉로 지하 228,강남구,104760,110086
1026,구룡,37.486985,127.059496,서울시 강남구 개포동 175번지,강남구,16501,15517
1027,개포동,37.489112,127.066027,서울시 강남구 개포동 지하 420(개포동),강남구,27591,28183
1028,대모산입구,37.491347,127.072702,서울시 강남구 일원동 611번지,강남구,32822,30292
